[00:00:00,000 - 00:00:00,080] 
[00:00:00,080 - 00:00:00,190]  E
[00:00:00,190 - 00:00:00,410] vern
[00:00:00,410 - 00:00:00,650] ote
[00:00:00,650 - 00:00:00,810]  is
[00:00:00,810 - 00:00:01,110]  how
[00:00:01,110 - 00:00:01,460]  every
[00:00:01,460 - 00:00:01,620]  AI
[00:00:01,620 - 00:00:02,230]  company
[00:00:02,230 - 00:00:02,540]  suddenly
[00:00:02,540 - 00:00:02,890]  has
[00:00:02,890 - 00:00:03,100]  three
[00:00:03,100 - 00:00:03,600]  versions
[00:00:03,600 - 00:00:03,710]  of
[00:00:03,710 - 00:00:03,900]  the
[00:00:03,900 - 00:00:04,160]  same
[00:00:04,160 - 00:00:04,800]  model
[00:00:04,800 - 00:00:04,800] ,
[00:00:04,800 - 00:00:04,990]  a
[00:00:04,990 - 00:00:05,150]  big
[00:00:05,150 - 00:00:05,400]  one
[00:00:05,400 - 00:00:05,570] ,
[00:00:05,570 - 00:00:05,650]  a
[00:00:05,650 - 00:00:06,170]  medium
[00:00:06,170 - 00:00:06,430]  one
[00:00:06,430 - 00:00:06,600] ,
[00:00:06,600 - 00:00:06,900]  and
[00:00:06,900 - 00:00:06,940]  a
[00:00:06,940 - 00:00:07,370]  cheap
[00:00:07,370 - 00:00:07,610]  one
[00:00:07,610 - 00:00:08,040] ,
[00:00:08,040 - 00:00:08,260]  open
[00:00:08,260 - 00:00:08,470]  AI
[00:00:08,470 - 00:00:08,860]  does
[00:00:08,860 - 00:00:09,240]  it
[00:00:09,240 - 00:00:09,310] ,
[00:00:09,310 - 00:00:09,440]  and
[00:00:09,440 - 00:00:09,660]  for
[00:00:09,660 - 00:00:09,960] opic
[00:00:09,960 - 00:00:10,240]  does
[00:00:10,240 - 00:00:10,380]  it
[00:00:10,380 - 00:00:10,560] ,
[00:00:10,560 - 00:00:10,940]  Google
[00:00:10,940 - 00:00:11,190]  does
[00:00:11,190 - 00:00:11,310]  it
[00:00:11,310 - 00:00:11,620] ,
[00:00:11,620 - 00:00:11,800]  and
[00:00:11,800 - 00:00:11,870]  they
[00:00:11,870 - 00:00:12,060]  all
[00:00:12,060 - 00:00:12,310]  give
[00:00:12,310 - 00:00:12,500]  you
[00:00:12,500 - 00:00:12,740]  some
[00:00:12,740 - 00:00:13,260]  polished
[00:00:13,260 - 00:00:13,630]  reason
[00:00:13,630 - 00:00:13,840] ,
[00:00:13,840 - 00:00:14,420]  different
[00:00:14,420 - 00:00:14,610]  use
[00:00:14,610 - 00:00:14,930]  cases
[00:00:14,930 - 00:00:15,460] ,
[00:00:15,460 - 00:00:15,560]  optimize
[00:00:15,560 - 00:00:15,750]  for
[00:00:15,750 - 00:00:16,330]  different
[00:00:16,330 - 00:00:16,650]  needs
[00:00:16,650 - 00:00:16,880] .
[00:00:16,880 - 00:00:17,800]  Sounds
[00:00:17,800 - 00:00:18,300]  nice
[00:00:18,300 - 00:00:18,870] ,
[00:00:18,870 - 00:00:18,920]  but
[00:00:18,920 - 00:00:18,970]  is
[00:00:18,970 - 00:00:19,200]  that
[00:00:19,200 - 00:00:19,440]  really
[00:00:19,440 - 00:00:19,830]  why
[00:00:19,830 - 00:00:20,240] ?
[00:00:20,240 - 00:00:20,440]  Let
[00:00:20,440 - 00:00:20,500] 's
[00:00:20,500 - 00:00:20,930]  actually
[00:00:20,930 - 00:00:21,200]  think
[00:00:21,200 - 00:00:21,470]  about
[00:00:21,470 - 00:00:21,680]  this
[00:00:21,680 - 00:00:21,840]  for
[00:00:21,840 - 00:00:21,890]  a
[00:00:21,890 - 00:00:22,400]  second
[00:00:22,400 - 00:00:22,600] .
[00:00:22,600 - 00:00:22,610]  Here
[00:00:22,610 - 00:00:22,700] 's
[00:00:22,700 - 00:00:22,870]  the
[00:00:22,870 - 00:00:23,110]  thing
[00:00:23,110 - 00:00:23,440]  nobody
[00:00:23,440 - 00:00:23,600]  says
[00:00:23,600 - 00:00:23,760]  out
[00:00:23,760 - 00:00:23,980]  loud
[00:00:23,980 - 00:00:24,160] .
[00:00:24,160 - 00:00:24,920]  Training
[00:00:24,920 - 00:00:25,020]  and
[00:00:25,020 - 00:00:25,540]  running
[00:00:25,540 - 00:00:25,610]  a
[00:00:25,610 - 00:00:26,150]  massive
[00:00:26,150 - 00:00:26,300]  AI
[00:00:26,300 - 00:00:26,680]  model
[00:00:26,680 - 00:00:27,060]  costs
[00:00:27,060 - 00:00:27,130]  a
[00:00:27,130 - 00:00:27,590]  stupid
[00:00:27,590 - 00:00:28,050]  amount
[00:00:28,050 - 00:00:28,200]  of
[00:00:28,200 - 00:00:28,640]  money
[00:00:28,640 - 00:00:28,640] ,
[00:00:28,640 - 00:00:28,770] 
[00:00:28,770 - 00:00:28,890]  not
[00:00:28,890 - 00:00:29,660]  expensive
[00:00:29,660 - 00:00:30,170]  laptop
[00:00:30,170 - 00:00:30,600]  money
[00:00:30,600 - 00:00:30,990] .
[00:00:30,990 - 00:00:31,100]  We
[00:00:31,100 - 00:00:31,150] 're
[00:00:31,150 - 00:00:31,540]  talking
[00:00:31,540 - 00:00:31,760]  data
[00:00:31,760 - 00:00:32,150]  centers
[00:00:32,150 - 00:00:32,400]  full
[00:00:32,400 - 00:00:32,810]  of
[00:00:32,810 - 00:00:33,650]  GPUs
[00:00:33,650 - 00:00:33,680] ,
[00:00:33,680 - 00:00:34,150]  burning
[00:00:34,150 - 00:00:34,890]  electricity
[00:00:34,890 - 00:00:35,160]  like
[00:00:35,160 - 00:00:35,220]  a
[00:00:35,220 - 00:00:35,560]  small
[00:00:35,560 - 00:00:35,740]  city
[00:00:35,740 - 00:00:36,190] ,
[00:00:36,190 - 00:00:36,230]  just
[00:00:36,230 - 00:00:36,340]  to
[00:00:36,340 - 00:00:36,680]  answer
[00:00:36,680 - 00:00:36,910]  your
[00:00:36,910 - 00:00:37,440]  questions
[00:00:37,440 - 00:00:37,760]  about
[00:00:37,760 - 00:00:38,160]  recipe
[00:00:38,160 - 00:00:38,760]  substit
[00:00:38,760 - 00:00:39,360] utions
[00:00:39,360 - 00:00:39,360] ,
[00:00:39,360 - 00:00:39,750]  that
[00:00:39,750 - 00:00:40,440]  flagship
[00:00:40,440 - 00:00:40,890]  model
[00:00:40,890 - 00:00:41,260] ,
[00:00:41,260 - 00:00:41,340]  the
[00:00:41,340 - 00:00:41,520]  op
[00:00:41,520 - 00:00:41,700] us
[00:00:41,700 - 00:00:41,880]  or
[00:00:41,880 - 00:00:42,150]  the
[00:00:42,150 - 00:00:42,470]  soul
[00:00:42,470 - 00:00:42,720] ,
[00:00:42,720 - 00:00:42,920]  or
[00:00:42,920 - 00:00:43,120]  whatever
[00:00:43,120 - 00:00:43,280]  they
[00:00:43,280 - 00:00:43,410] 're
[00:00:43,410 - 00:00:43,680]  calling
[00:00:43,680 - 00:00:43,800]  the
[00:00:43,800 - 00:00:43,920]  big
[00:00:43,920 - 00:00:44,080]  one
[00:00:44,080 - 00:00:44,150]  this
[00:00:44,150 - 00:00:44,960]  month
[00:00:44,960 - 00:00:44,960] ,
[00:00:44,960 - 00:00:45,100]  is
[00:00:45,100 - 00:00:45,720]  genuinely
[00:00:45,720 - 00:00:46,260]  powerful
[00:00:46,260 - 00:00:46,400] ,
[00:00:46,400 - 00:00:46,740]  but
[00:00:46,740 - 00:00:46,800]  it
[00:00:46,800 - 00:00:46,870] 's
[00:00:46,870 - 00:00:47,140]  also
[00:00:47,140 - 00:00:47,760]  genuinely
[00:00:47,760 - 00:00:48,380]  expensive
[00:00:48,380 - 00:00:48,520]  to
[00:00:48,520 - 00:00:48,800]  run
[00:00:48,800 - 00:00:49,760]  every
[00:00:49,760 - 00:00:50,000]  single
[00:00:50,000 - 00:00:50,320]  time
[00:00:50,320 - 00:00:50,560]  someone
[00:00:50,560 - 00:00:50,880]  hits
[00:00:50,880 - 00:00:51,470]  enter
[00:00:51,470 - 00:00:51,620] .
[00:00:51,620 - 00:00:51,690]  So
[00:00:51,690 - 00:00:51,770]  if
[00:00:51,770 - 00:00:52,140]  every
[00:00:52,140 - 00:00:52,440]  user
[00:00:52,440 - 00:00:52,660]  got
[00:00:52,660 - 00:00:52,880]  the
[00:00:52,880 - 00:00:53,480]  flagship
[00:00:53,480 - 00:00:53,850]  model
[00:00:53,850 - 00:00:54,070]  for
[00:00:54,070 - 00:00:54,370]  free
[00:00:54,370 - 00:00:54,770] ,
[00:00:54,770 - 00:00:54,790]  the
[00:00:54,790 - 00:00:55,320]  company
[00:00:55,320 - 00:00:55,620]  goes
[00:00:55,620 - 00:00:56,480]  bankrupt
[00:00:56,480 - 00:00:56,570] .
[00:00:56,570 - 00:00:56,880]  Simple
[00:00:56,880 - 00:00:57,020]  as
[00:00:57,020 - 00:00:57,600]  that
[00:00:57,600 - 00:00:57,600] ,
[00:00:57,600 - 00:00:57,760] 
[00:00:57,760 - 00:00:58,050]  that
[00:00:58,050 - 00:00:58,130] 's
[00:00:58,130 - 00:00:58,490]  tier
[00:00:58,490 - 00:00:58,760]  one
[00:00:58,760 - 00:00:58,920] ,
[00:00:58,920 - 00:00:59,200]  the
[00:00:59,200 - 00:00:59,780]  logic
[00:00:59,780 - 00:00:59,860] ,
[00:00:59,860 - 00:01:00,180]  pure
[00:01:00,180 - 00:01:01,200]  economics
[00:01:01,200 - 00:01:01,350] ,
[00:01:01,350 - 00:01:01,380]  but
[00:01:01,380 - 00:01:01,550]  here
